DateTime,Battery_voltage,Battery_SOC,TDR0_us,TDR0_WC%,TDR1_us,TDR1_WC%,TDR2_us,TDR2_WC%,TDR3_us,TDR3_WC%,TDR4_us,TDR4_WC%,TDR5_us,TDR5_WC%,TDR6_us,TDR6_WC%,TDR7_us,TDR7_WC%
2026-02-12T00:00:19,12.759,100.000,9999.0000,6992294.0000,28.9327,33.7394,28.6714,32.8504,25.1332,21.7535,29.9034,37.1258,9999.0000,6992294.0000,29.3324,35.1178,25.5598,22.9984
2026-02-12T00:15:18,12.756,100.000,9999.0000,6992294.0000,28.9360,33.7508,28.6738,32.8587,25.1319,21.7499,29.9034,37.1258,9999.0000,6992294.0000,29.3324,35.1178,25.5630,23.0081
2026-02-12T00:30:17,12.754,100.000,9999.0000,6992294.0000,28.9369,33.7537,28.6747,32.8615,25.1319,21.7499,29.9016,37.1195,9999.0000,6992294.0000,29.3315,35.1149,25.5624,23.0061
2026-02-12T00:45:22,12.753,100.000,9999.0000,6992294.0000,28.9427,33.7738,28.6763,32.8670,25.1338,21.7554,29.9025,37.1227,9999.0000,6992294.0000,29.3315,35.1149,25.5617,23.0042
2026-02-12T01:00:21,12.754,100.000,9999.0000,6992294.0000,28.9402,33.7652,28.6722,32.8531,25.1332,21.7535,29.9061,37.1354,9999.0000,6992294.0000,29.3307,35.1119,25.5617,23.0042
2026-02-12T01:15:21,12.754,100.000,9999.0000,6992294.0000,28.9461,33.7852,28.6763,32.8670,25.1326,21.7517,29.9043,37.1290,9999.0000,6992294.0000,29.3333,35.1208,25.5598,22.9984
2026-02-12T01:30:20,12.746,100.000,9999.0000,6992294.0000,28.9477,33.7910,28.6747,32.8615,25.1326,21.7517,29.9043,37.1290,9999.0000,6992294.0000,29.3333,35.1208,25.5611,23.0023
2026-02-12T01:45:19,12.754,100.000,9999.0000,6992294.0000,28.9477,33.7910,28.6755,32.8643,25.1338,21.7554,29.9043,37.1290,9999.0000,6992294.0000,29.3315,35.1149,25.5630,23.0081
2026-02-12T02:00:18,12.751,100.000,9999.0000,6992294.0000,28.9528,33.8082,28.6763,32.8670,25.1332,21.7535,29.9025,37.1227,9999.0000,6992294.0000,29.3315,35.1149,25.5604,23.0004
2026-02-12T02:15:17,12.751,100.000,9999.0000,6992294.0000,28.9545,33.8139,28.6779,32.8726,25.1332,21.7535,29.9034,37.1258,9999.0000,6992294.0000,29.3307,35.1119,25.5624,23.0061
2026-02-12T02:30:22,12.753,100.000,9999.0000,6992294.0000,28.9595,33.8312,28.6771,32.8698,25.1326,21.7517,29.9034,37.1258,9999.0000,6992294.0000,29.3307,35.1119,25.5611,23.0023
2026-02-12T02:45:21,12.748,100.000,9999.0000,6992294.0000,28.9570,33.8225,28.6755,32.8643,25.1332,21.7535,29.9025,37.1227,9999.0000,6992294.0000,29.3315,35.1149,25.5624,23.0061
2026-02-12T03:00:20,12.747,100.000,9999.0000,6992294.0000,28.9612,33.8369,28.6747,32.8615,25.1326,21.7517,29.9043,37.1290,9999.0000,6992294.0000,29.3333,35.1208,25.5611,23.0023
2026-02-12T03:15:20,12.748,100.000,9999.0000,6992294.0000,28.9628,33.8426,28.6755,32.8643,25.1326,21.7517,29.9043,37.1290,9999.0000,6992294.0000,29.3333,35.1208,25.5604,23.0004
2026-02-12T03:30:19,12.747,100.000,9999.0000,6992294.0000,28.9637,33.8455,28.6747,32.8615,25.1338,21.7554,29.9043,37.1290,9999.0000,6992294.0000,29.3315,35.1149,25.5611,23.0023
2026-02-12T03:45:18,12.748,100.000,9999.0000,6992294.0000,28.9670,33.8570,28.6755,32.8643,25.1338,21.7554,29.9025,37.1227,9999.0000,6992294.0000,29.3324,35.1178,25.5617,23.0042
2026-02-12T04:00:17,12.747,100.000,9999.0000,6992294.0000,28.9704,33.8685,28.6779,32.8726,25.1338,21.7554,29.9052,37.1322,9999.0000,6992294.0000,29.3307,35.1119,25.5604,23.0004
2026-02-12T04:15:22,12.748,100.000,9999.0000,6992294.0000,28.9729,33.8771,28.6771,32.8698,25.1326,21.7517,29.9043,37.1290,9999.0000,6992294.0000,29.3307,35.1119,25.5604,23.0004
2026-02-12T04:30:21,12.749,100.000,9999.0000,6992294.0000,28.9746,33.8829,28.6763,32.8670,25.1326,21.7517,29.9043,37.1290,9999.0000,6992294.0000,29.3315,35.1149,25.5604,23.0004
2026-02-12T04:45:20,12.748,100.000,9999.0000,6992294.0000,28.9746,33.8829,28.6747,32.8615,25.1326,21.7517,29.9043,37.1290,9999.0000,6992294.0000,29.3324,35.1178,25.5611,23.0023
2026-02-12T05:00:19,12.745,100.000,9999.0000,6992294.0000,28.9771,33.8915,28.6763,32.8670,25.1338,21.7554,29.9025,37.1227,9999.0000,6992294.0000,29.3307,35.1119,25.5598,22.9984
2026-02-12T05:15:19,12.749,100.000,9999.0000,6992294.0000,28.9796,33.9001,28.6771,32.8698,25.1332,21.7535,29.9034,37.1258,9999.0000,6992294.0000,29.3315,35.1149,25.5598,22.9984
2026-02-12T05:30:18,12.743,100.000,9999.0000,6992294.0000,28.9847,33.9174,28.6771,32.8698,25.1338,21.7554,29.9043,37.1290,9999.0000,6992294.0000,29.3298,35.1089,25.5598,22.9984
2026-02-12T05:45:17,12.746,100.000,9999.0000,6992294.0000,28.9813,33.9059,28.6763,32.8670,25.1338,21.7554,29.9025,37.1227,1000000.0000,69999370000.0000,29.3307,35.1119,25.5604,23.0004
2026-02-12T06:00:22,12.746,100.000,9999.0000,6992294.0000,28.9863,33.9232,28.6763,32.8670,25.1338,21.7554,29.9034,37.1258,9999.0000,6992294.0000,29.3315,35.1149,25.5624,23.0061
2026-02-12T06:15:21,12.745,100.000,9999.0000,6992294.0000,28.9872,33.9261,28.6755,32.8643,25.1345,21.7572,29.9043,37.1290,9999.0000,6992294.0000,29.3281,35.1029,25.5598,22.9984
2026-02-12T06:30:20,12.748,100.000,9999.0000,6992294.0000,28.9889,33.9318,28.6771,32.8698,25.1351,21.7590,29.9043,37.1290,9999.0000,6992294.0000,29.3324,35.1178,25.5604,23.0004
2026-02-12T06:45:19,12.745,100.000,9999.0000,6992294.0000,28.9914,33.9405,28.6779,32.8726,25.1345,21.7572,29.9052,37.1322,9999.0000,6992294.0000,29.3298,35.1089,25.5604,23.0004
2026-02-12T07:00:18,12.749,100.000,9999.0000,6992294.0000,28.9931,33.9462,28.6771,32.8698,25.1326,21.7517,29.9052,37.1322,9999.0000,6992294.0000,29.3315,35.1149,25.5604,23.0004
2026-02-12T07:15:17,12.744,100.000,9999.0000,6992294.0000,28.9956,33.9549,28.6788,32.8754,25.1345,21.7572,29.9034,37.1258,9999.0000,6992294.0000,29.3298,35.1089,25.5617,23.0042
2026-02-12T07:30:22,12.746,100.000,9999.0000,6992294.0000,28.9973,33.9606,28.6755,32.8643,25.1338,21.7554,29.9043,37.1290,9999.0000,6992294.0000,29.3324,35.1178,25.5611,23.0023
2026-02-12T07:45:22,12.743,100.000,9999.0000,6992294.0000,28.9990,33.9664,28.6779,32.8726,25.1332,21.7535,29.9043,37.1290,9999.0000,6992294.0000,29.3315,35.1149,25.5604,23.0004
2026-02-12T08:00:21,12.748,100.000,9999.0000,6992294.0000,29.0032,33.9808,28.6779,32.8726,25.1338,21.7554,29.9034,37.1258,9999.0000,6992294.0000,29.3298,35.1089,25.5585,22.9946
2026-02-12T08:15:20,12.748,100.000,9999.0000,6992294.0000,29.0040,33.9837,28.6763,32.8670,25.1345,21.7572,29.9061,37.1354,9999.0000,6992294.0000,29.5177,35.7644,25.5591,22.9965
2026-02-12T08:30:19,12.748,100.000,9999.0000,6992294.0000,29.0048,33.9866,28.6763,32.8670,25.1338,21.7554,29.9043,37.1290,9999.0000,6992294.0000,29.3307,35.1119,25.5591,22.9965
2026-02-12T08:45:18,12.745,100.000,9999.0000,6992294.0000,29.0099,34.0039,28.6771,32.8698,25.1345,21.7572,29.9043,37.1290,9999.0000,6992294.0000,29.3298,35.1089,25.5578,22.9927
2026-02-12T09:00:17,12.747,100.000,9999.0000,6992294.0000,29.0107,34.0068,28.6779,32.8726,25.1338,21.7554,29.9043,37.1290,9999.0000,6992294.0000,29.3307,35.1119,25.5611,23.0023
2026-02-12T09:15:22,12.746,100.000,9999.0000,6992294.0000,29.0099,34.0039,28.6788,32.8754,25.1345,21.7572,29.9034,37.1258,9999.0000,6992294.0000,29.3298,35.1089,25.5598,22.9984
2026-02-12T09:30:21,12.751,100.000,9999.0000,6992294.0000,29.0124,34.0126,28.6763,32.8670,25.1357,21.7608,29.9052,37.1322,9999.0000,6992294.0000,29.3298,35.1089,25.5604,23.0004
