DateTime,Battery_voltage,Battery_SOC,TDR0_us,TDR0_WC%,TDR1_us,TDR1_WC%,TDR2_us,TDR2_WC%,TDR3_us,TDR3_WC%,TDR4_us,TDR4_WC%,TDR5_us,TDR5_WC%,TDR6_us,TDR6_WC%,TDR7_us,TDR7_WC%
2026-02-23T00:00:20,12.553,87.770,9999.0000,6992294.0000,29.2167,34.7166,29.8659,36.9925,25.1503,21.8029,29.8320,36.8724,28.8542,33.4714,29.2843,34.9508,25.5063,22.8410
2026-02-23T00:15:20,12.554,87.797,9999.0000,6992294.0000,29.2176,34.7195,29.8659,36.9925,25.1522,21.8084,29.8320,36.8724,28.8575,33.4828,29.2817,34.9419,25.5057,22.8391
2026-02-23T00:30:19,12.550,87.496,9999.0000,6992294.0000,29.2193,34.7254,29.8668,36.9957,25.1515,21.8065,29.8329,36.8755,28.8567,33.4799,29.2817,34.9419,25.5076,22.8448
2026-02-23T00:45:18,12.556,87.962,9999.0000,6992294.0000,29.2193,34.7254,29.8632,36.9830,25.1522,21.8084,29.8329,36.8755,28.8584,33.4856,29.2809,34.9389,25.5070,22.8429
2026-02-23T01:00:17,12.551,87.551,9999.0000,6992294.0000,29.2167,34.7166,29.8659,36.9925,25.1515,21.8065,29.8320,36.8724,28.8559,33.4771,29.2834,34.9478,25.5070,22.8429
2026-02-23T01:15:22,12.553,87.715,9999.0000,6992294.0000,29.2158,34.7136,29.8659,36.9925,25.1522,21.8084,29.8338,36.8787,28.8584,33.4856,29.2826,34.9448,25.5070,22.8429
2026-02-23T01:30:21,12.550,87.496,9999.0000,6992294.0000,29.2150,34.7107,29.8623,36.9799,25.1522,21.8084,29.8312,36.8692,28.8584,33.4856,29.2826,34.9448,25.5063,22.8410
2026-02-23T01:45:20,12.549,87.387,9999.0000,6992294.0000,29.2167,34.7166,29.8650,36.9894,25.1515,21.8065,29.8329,36.8755,28.8592,33.4884,29.2809,34.9389,25.5070,22.8429
2026-02-23T02:00:20,12.552,87.688,9999.0000,6992294.0000,29.2176,34.7195,29.8659,36.9925,25.1515,21.8065,29.8347,36.8818,28.8575,33.4828,29.2817,34.9419,25.5070,22.8429
2026-02-23T02:15:19,12.548,87.359,9999.0000,6992294.0000,29.2158,34.7136,29.8650,36.9894,25.1528,21.8102,29.8320,36.8724,28.8575,33.4828,29.2826,34.9448,25.5083,22.8468
2026-02-23T02:30:18,12.546,87.195,9999.0000,6992294.0000,29.2158,34.7136,29.8659,36.9925,25.1528,21.8102,29.8329,36.8755,28.8534,33.4686,29.2834,34.9478,25.5057,22.8391
2026-02-23T02:45:17,12.549,87.414,9999.0000,6992294.0000,29.2141,34.7077,29.8650,36.9894,25.1515,21.8065,29.8329,36.8755,28.8575,33.4828,29.2834,34.9478,25.5076,22.8448
2026-02-23T03:00:22,12.546,87.140,9999.0000,6992294.0000,29.2150,34.7107,29.8668,36.9957,25.1515,21.8065,29.8320,36.8724,28.8559,33.4771,29.2817,34.9419,25.5063,22.8410
