DateTime,Battery_voltage,Battery_SOC,TDR0_us,TDR0_WC%,TDR1_us,TDR1_WC%,TDR2_us,TDR2_WC%,TDR3_us,TDR3_WC%,TDR4_us,TDR4_WC%,TDR5_us,TDR5_WC%,TDR6_us,TDR6_WC%,TDR7_us,TDR7_WC%
2026-02-27T00:00:18,12.462,80.157,9999.0000,6992294.0000,28.9620,33.8398,29.7663,36.6396,25.1629,21.8395,29.8134,36.8062,28.8301,33.3892,29.2663,34.8883,25.4907,22.7952
2026-02-27T00:15:18,12.463,80.212,9999.0000,6992294.0000,28.9620,33.8398,29.7663,36.6396,25.1623,21.8376,29.8134,36.8062,28.8317,33.3948,29.2654,34.8854,25.4913,22.7971
2026-02-27T00:30:17,12.459,79.883,9999.0000,6992294.0000,28.9595,33.8312,29.7681,36.6459,25.1636,21.8413,29.8143,36.8093,28.8326,33.3977,29.2680,34.8943,25.4894,22.7913
2026-02-27T00:45:22,12.463,80.212,9999.0000,6992294.0000,28.9612,33.8369,29.7663,36.6396,25.1623,21.8376,29.8143,36.8093,28.8301,33.3892,29.2654,34.8854,25.4887,22.7894
2026-02-27T01:00:21,12.456,79.664,9999.0000,6992294.0000,28.9603,33.8340,29.7672,36.6428,25.1610,21.8340,29.8134,36.8062,28.8292,33.3864,29.2663,34.8883,25.4894,22.7913
2026-02-27T01:15:20,12.456,79.692,9999.0000,6992294.0000,28.9603,33.8340,29.7663,36.6396,25.1623,21.8376,29.8143,36.8093,28.8301,33.3892,29.2637,34.8794,25.4894,22.7913
2026-02-27T01:30:19,12.458,79.828,9999.0000,6992294.0000,28.9595,33.8312,29.7646,36.6334,25.1636,21.8413,29.8125,36.8030,28.8309,33.3920,29.2672,34.8913,25.4887,22.7894
2026-02-27T01:45:19,12.456,79.637,9999.0000,6992294.0000,28.9595,33.8312,29.7663,36.6396,25.1617,21.8358,29.8151,36.8125,28.8292,33.3864,29.2672,34.8913,25.4881,22.7875
2026-02-27T02:00:18,12.458,79.801,9999.0000,6992294.0000,28.9595,33.8312,29.7663,36.6396,25.1629,21.8395,29.8143,36.8093,28.8301,33.3892,29.2663,34.8883,25.4881,22.7875
2026-02-27T02:15:17,12.458,79.828,9999.0000,6992294.0000,28.9586,33.8283,29.7646,36.6334,25.1636,21.8413,29.8134,36.8062,28.8301,33.3892,29.2663,34.8883,25.4881,22.7875
2026-02-27T02:30:22,12.456,79.637,9999.0000,6992294.0000,28.9586,33.8283,29.7672,36.6428,25.1636,21.8413,29.8134,36.8062,28.8326,33.3977,29.2637,34.8794,25.4887,22.7894
2026-02-27T02:45:21,12.459,79.910,9999.0000,6992294.0000,28.9561,33.8197,29.7672,36.6428,25.1629,21.8395,29.8143,36.8093,28.8317,33.3948,29.2646,34.8824,25.4894,22.7913
2026-02-27T03:00:20,12.459,79.883,9999.0000,6992294.0000,28.9586,33.8283,29.7663,36.6396,25.1617,21.8358,29.8143,36.8093,28.8276,33.3807,29.2654,34.8854,25.4887,22.7894
2026-02-27T03:15:20,12.452,79.363,9999.0000,6992294.0000,28.9586,33.8283,29.7672,36.6428,25.1642,21.8431,29.8151,36.8125,28.8326,33.3977,29.2637,34.8794,25.4900,22.7932
2026-02-27T03:30:19,12.457,79.719,9999.0000,6992294.0000,28.9586,33.8283,29.7663,36.6396,25.1623,21.8376,29.8125,36.8030,28.8317,33.3948,29.2646,34.8824,25.4881,22.7875
2026-02-27T03:45:18,12.455,79.555,9999.0000,6992294.0000,28.9536,33.8111,29.7663,36.6396,25.1629,21.8395,29.8151,36.8125,28.8334,33.4005,29.2663,34.8883,25.4900,22.7932
2026-02-27T04:00:17,12.455,79.555,9999.0000,6992294.0000,28.9570,33.8225,29.7663,36.6396,25.1636,21.8413,29.8151,36.8125,28.8317,33.3948,29.2654,34.8854,25.4881,22.7875
2026-02-27T04:15:22,12.456,79.692,9999.0000,6992294.0000,28.9545,33.8139,29.7681,36.6459,25.1642,21.8431,29.8160,36.8156,28.8309,33.3920,29.2646,34.8824,25.4894,22.7913
2026-02-27T04:30:21,12.454,79.527,9999.0000,6992294.0000,28.9536,33.8111,29.7690,36.6490,25.1648,21.8450,29.8143,36.8093,28.8301,33.3892,29.2646,34.8824,25.4887,22.7894
2026-02-27T04:45:20,12.456,79.664,9999.0000,6992294.0000,28.9536,33.8111,29.7681,36.6459,25.1648,21.8450,29.8151,36.8125,28.8292,33.3864,29.4525,35.5363,25.4887,22.7894
2026-02-27T05:00:20,12.454,79.500,9999.0000,6992294.0000,28.9545,33.8139,29.7663,36.6396,25.1655,21.8468,29.8169,36.8188,28.8309,33.3920,29.2646,34.8824,25.4900,22.7932
2026-02-27T05:15:19,12.450,79.144,9999.0000,6992294.0000,28.9528,33.8082,29.7690,36.6490,25.1642,21.8431,29.8134,36.8062,28.8284,33.3835,29.2663,34.8883,25.4881,22.7875
2026-02-27T05:30:18,12.449,79.117,9999.0000,6992294.0000,28.9536,33.8111,29.7699,36.6522,25.1648,21.8450,29.8160,36.8156,28.8284,33.3835,29.2654,34.8854,25.4881,22.7875
2026-02-27T05:45:17,12.453,79.418,9999.0000,6992294.0000,28.9519,33.8053,29.7699,36.6522,25.1648,21.8450,29.8178,36.8219,28.8334,33.4005,29.2637,34.8794,25.4887,22.7894
2026-02-27T06:00:22,12.453,79.390,9999.0000,6992294.0000,28.9519,33.8053,29.7708,36.6553,25.1623,21.8376,29.8143,36.8093,28.8292,33.3864,29.2646,34.8824,25.4874,22.7856
2026-02-27T06:15:21,12.452,79.308,9999.0000,6992294.0000,28.9503,33.7996,29.7690,36.6490,25.1648,21.8450,29.8143,36.8093,28.8309,33.3920,29.2646,34.8824,25.4874,22.7856
2026-02-27T06:30:21,12.454,79.527,9999.0000,6992294.0000,28.9511,33.8024,29.7699,36.6522,25.1661,21.8486,29.8134,36.8062,28.8317,33.3948,29.2646,34.8824,25.4874,22.7856
